lbr_frc_statistics_unemp_num, yr, lga_code17, lga_name17, p_post_scl_qual_p_post_scl_qual_pr100
69,2016,"52590","Dandaragan (S)",53.6
479,2016,"52660","Dardanup (S)",56.1
13,2016,"52940","Dowerin (S)",45.4
18,2016,"53010","Dumbleyung (S)",49.1
30,2016,"53080","Dundas (S)",51.4
222,2016,"53150","East Fremantle (T)",72.4
256,2016,"53220","East Pilbara (S)",66.7
302,2016,"53290","Esperance (S)",55.0
61,2016,"53360","Exmouth (S)",66.1
1109,2016,"53430","Fremantle (C)",68.7
149,2016,"53570","Gingin (S)",53.4
922,2016,"54280","Kalgoorlie/Boulder (C)",57.1
681,2016,"54310","Karratha (C)",67.2
26,2016,"53710","Goomalling (S)",49.8
5714,2016,"53780","Gosnells (C)",55.6
1611,2016,"53800","Greater Geraldton (C)",55.4
114,2016,"54340","Katanning (S)",49.8
22,2016,"54410","Kellerberrin (S)",48.6
3,2016,"54480","Kent (S)",53.2
25,2016,"54550","Kojonup (S)",52.6
14,2016,"54620","Kondinin (S)",47.2
5,2016,"54690","Koorda (S)",41.4
10,2016,"54760","Kulin (S)",48.1
54,2016,"54970","Laverton (S)",60.5
26,2016,"55040","Leonora (S)",63.2
8,2016,"55950","Mukinbudin (S)",46.9
3787,2016,"55110","Mandurah (C)",55.4
229,2016,"55180","Manjimup (S)",51.1
25,2016,"55250","Meekatharra (S)",61.9
3409,2016,"55320","Melville (C)",66.5
26,2016,"55390","Menzies (S)",53.8
7,2016,"55530","Mingenew (S)",49.5
79,2016,"55460","Merredin (S)",48.1
1275,2016,"56090","Mundaring (S)",63.3
16,2016,"55810","Mount Magnet (S)",58.9
54,2016,"55600","Moora (S)",48.5
9,2016,"55880","Mount Marshall (S)",42.1
28,2016,"55670","Morawa (S)",48.4
107,2016,"56620","Ngaanyatjarraku (S)",43.0
4,2016,"56860","Nungarin (S)",42.2
25,2016,"56930","Peppermint Grove (S)",67.6
266,2016,"55740","Mosman Park (T)",72.0
40,2016,"57140","Pingelly (S)",47.6
155,2016,"57210","Plantagenet (S)",55.1
389,2016,"57280","Port Hedland (T)",66.0
25,2016,"57350","Quairading (S)",48.2
51,2016,"57420","Ravensthorpe (S)",55.0
5941,2016,"57490","Rockingham (C)",58.0
5,2016,"56160","Murchison (S)",55.0
685,2016,"56230","Murray (S)",52.0
38,2016,"56300","Nannup (S)",55.7
14,2016,"56370","Narembeen (S)",39.3
114,2016,"56460","Narrogin (S)",55.4
551,2016,"56580","Nedlands (C)",73.4
405,2016,"56730","Northam (S)",55.1
