yr, lga_code17, solar_inst_small_scale_solar_panel_sys_inst_num, lga_name17
2016,"58570",1371,"Vincent (C)"
2016,"58610",206,"Wagin (S)"
2016,"58680",41,"Wandering (S)"
2016,"58760",19754,"Wanneroo (C)"
2016,"58820",472,"Waroona (S)"
2016,"58890",83,"West Arthur (S)"
2016,"59100",77,"Wickepin (S)"
2016,"59170",72,"Williams (S)"
2016,"59250",8,"Wiluna (S)"
2016,"59310",80,"Wongan-Ballidu (S)"
2016,"59320",50,"Woodanilling (S)"
2016,"59330",59,"Wyalkatchem (S)"
2016,"59340",214,"Wyndham-East Kimberley (S)"
2016,"59360",65,"Yilgarn (S)"
2016,"59370",474,"York (S)"
2016,"60210",609,"Break O'Day (M)"
2016,"60410",976,"Brighton (M)"
2016,"60610",727,"Burnie (C)"
2016,"60810",1245,"Central Coast (M) (Tas.)"
2016,"61010",115,"Central Highlands (M) (Tas.)"
2016,"70420",143,"Barkly (R)"
2016,"70540",null,"Belyuen (S)"
2016,"70620",26,"Central Desert (R)"
2016,"70700",76,"Coomalie (S)"
2016,"71000",2111,"Darwin (C)"
2016,"72330",42,"MacDonnell (R)"
2016,"72800",1255,"Palmerston (C)"
2016,"73600",51,"Roper Gulf (R)"
2016,"74050",28,"Tiwi Islands (R)"
